Ticker,Bid,Ask,Open,Low,High,Changes,Date
AED/AUD,0.40263,0.40363,0.40281,0.40177,0.40375,-0.00018,2024-09-17 14:20:28
AED/BHD,0.10253,0.10266,0.1025,0.10244,0.10268,9.5367212e-05,2024-09-17 14:20:28
AED/CAD,0.3697,0.3707,0.36941,0.36923,0.37125,0.00029,2024-09-17 14:20:28
AED/CHF,0.22994,0.23094,0.22951,0.22904,0.23068,0.00043,2024-09-17 14:20:28
AED/DKK,1.8263,1.82854,1.82414,1.82217,1.82796,0.00328517,2024-09-17 14:20:28
AED/EUR,0.2448,0.24495,0.2447,0.24404,0.24509,0.000245751135,2024-09-17 14:20:28
AED/GBP,0.2064,0.2074,0.20558,0.20531,0.20712,0.00082,2024-09-17 14:20:28
AED/ILS,1.02952,1.03024,1.0206,1.01811,1.06959,0.00927947,2024-09-17 14:20:28
AED/INR,22.77541,22.8274,22.85244,22.736,22.85296,-0.02503977,2024-09-17 14:20:28
AED/JOD,0.1928,0.19304,0.19308,0.19276,0.19324,-0.000159306313,2024-09-17 14:20:28
AED/JPY,38.611,38.661,38.275,38.203,38.632,0.336,2024-09-17 14:20:28
AED/KWD,0.08300127,0.08310298,0.083203,0.08288998,0.08323,-0.000150907227,2024-09-17 14:20:28
AED/NOK,2.8831,2.8931,2.8792,2.8702,2.89628,0.0039,2024-09-17 14:20:28
AED/NZD,0.43977,0.44077,0.43872,0.43789,0.44103,0.00105,2024-09-17 14:20:28
AED/OMR,0.10434,0.10534,0.10431,0.10431,0.10497,3e-05,2024-09-17 14:20:28
AED/PKR,75.678,75.728,75.678,75.665,75.766,0,2024-09-17 14:20:28
AED/QAR,0.9861,0.9961,0.9861,0.9861,0.99485,0,2024-09-17 14:20:28
AED/SAR,1.02127,1.02252,1.016,1.016,1.02262,0.00589551,2024-09-17 14:20:28
AED/SEK,2.7701,2.7801,2.7653,2.7592,2.78234,0.0048,2024-09-17 14:20:28
AED/SGD,0.35226,0.35351,0.35323,0.3515,0.35367,0.000274713858,2024-09-17 14:20:28
AED/USD,0.27229,0.27222,0.27226,0.27223,0.27231,2.223e-05,2024-09-17 14:20:28
AED/ZAR,4.79605,4.7997,4.7941,4.78681,4.8127,0.0037764,2024-09-17 14:20:28
AFN/EUR,0.01294029,0.01294448,0.01294834,0.01293393,0.0131096,-3.855018e-06,2024-09-17 14:20:28
AFN/GBP,0.01093374,0.01093673,0.01090762,0.01076134,0.01094032,2.9107673e-05,2024-09-17 14:20:28
AFN/USD,0.01440991,0.0143685,0.01442793,0.01440991,0.01442793,-1.8026e-05,2024-09-17 14:20:28
ALL/EUR,0.00997407,0.01017708,0.01017708,0.00982125,0.01018019,0,2024-09-17 14:20:28
ALL/GBP,0.00847817,0.00849618,0.00849401,0.00827044,0.00850485,2.164999e-06,2024-09-17 14:20:28
ALL/USD,0.01121579,0.01118443,0.01122461,0.01091852,0.01123722,-8.814e-06,2024-09-17 14:20:28
AMD/EUR,0.00231299,0.00231836,0.00231863,0.00231836,0.00232445,-2.6877e-07,2024-09-17 14:20:28
AMD/GBP,0.00194917,0.00195297,0.00195351,0.00195297,0.00195902,-5.3412e-07,2024-09-17 14:20:28
AMD/USD,0.00258325,0.00257659,0.00258325,0.00258325,0.00258605,0,2024-09-17 14:20:28
ARS/AUD,0.00154088,0.00154089,0.00154298,0.00153694,0.00154589,-2.098112e-06,2024-09-17 14:20:28
ARS/BRL,0.00570422,0.0057117,0.00549,0.00546,0.00580388,0.000217959239,2024-09-17 14:20:28
ARS/CAD,0.00141473,0.00141474,0.00141485,0.00141279,0.00141761,-1.10403e-07,2024-09-17 14:20:28
ARS/CHF,0.000880733344,0.000880740762,0.000880066322,0.000877650967,0.000881798912,6.70731e-07,2024-09-17 14:20:28
